smartphone_id,megapixels,diafragma,beeldstabilisatie,flitser
hon_818867,16 MP,2,Elektronische Beeldstabilisatie,Nee
app_648478,5 MP,"2,2",Geen beeldstabilisatie,Nee
lg_814762,8 MP,"2,2",Geen beeldstabilisatie,Nee
app_819347,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
cro_824694,8 MP,2,Geen beeldstabilisatie,Nee
sam_827286,10 MP,"1,9",Geen beeldstabilisatie,Nee
app_648446,5 MP,"2,2",Geen beeldstabilisatie,Nee
sam_820190,8 MP,"1,9",Geen beeldstabilisatie,Nee
hon_821696,24 MP,2,Geen beeldstabilisatie,Nee
opp_825284,25 MP,2,Optische Beeldstabilisatie,Nee
app_648494,5 MP,"2,2",Geen beeldstabilisatie,Nee
hua_806991,24 MP,2,Geen beeldstabilisatie,Ja
app_734154,7 MP,"2,2",Geen beeldstabilisatie,Nee
sam_812748,8 MP,"1,7",Geen beeldstabilisatie,Nee
app_793977,7 MP,"2,2",Geen beeldstabilisatie,Nee
son_827295,8 MP,2,Geen beeldstabilisatie,Nee
sam_828146,25 MP,2,Geen beeldstabilisatie,Nee
app_819965,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
son_819001,13 MP,2,Geen beeldstabilisatie,Ja
sam_672846,5 MP,"1,7",Geen beeldstabilisatie,Nee
lg_823686,8 MP,"1,9",Geen beeldstabilisatie,Nee
mot_789405,8 MP,2,Geen beeldstabilisatie,Ja
sam_820189,8 MP,"1,9",Geen beeldstabilisatie,Nee
sam_826995,10 MP,"1,9",Geen beeldstabilisatie,Nee
lg_825677,8 MP,"1,9",Geen beeldstabilisatie,Nee
hua_802953,8 MP,2,Geen beeldstabilisatie,Nee
xia_825441,20 MP,2,Geen beeldstabilisatie,Nee
rug_828702,2 MP,"2,2",Geen beeldstabilisatie,Nee
app_819966,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
nok_825011,8 MP,"2,2",Geen beeldstabilisatie,Nee
sam_820192,5 MP,"2,2",Geen beeldstabilisatie,Ja
xia_828048,20 MP,2,Geen beeldstabilisatie,Nee
hon_818863,16 MP,2,Elektronische Beeldstabilisatie,Nee
sam_829108,25 MP,2,Geen beeldstabilisatie,Nee
hua_811988,5 MP,"2,4",Geen beeldstabilisatie,Nee
sam_826996,10 MP,"1,9",Geen beeldstabilisatie,Nee
xia_828045,20 MP,2,Geen beeldstabilisatie,Nee
son_827298,8 MP,2,Geen beeldstabilisatie,Nee
lg_811871,8 MP,"1,9",Geen beeldstabilisatie,Nee
app_825429,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
son_827299,8 MP,2,Geen beeldstabilisatie,Nee
hua_828488,16 MP,2,Geen beeldstabilisatie,Nee
hon_822034,16 MP,2,Geen beeldstabilisatie,Nee
hua_821693,24 MP,2,Geen beeldstabilisatie,Ja
mot_814744,8 MP,2,Geen beeldstabilisatie,Ja
opp_825283,25 MP,2,Optische Beeldstabilisatie,Nee
nok_807356,8 MP,2,Geen beeldstabilisatie,Nee
nok_825006,8 MP,"2,2",Geen beeldstabilisatie,Nee
opp_825293,25 MP,2,Optische Beeldstabilisatie,Nee
app_819967,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
mot_825940,8 MP,"2,2",Geen beeldstabilisatie,Nee
opp_825290,25 MP,2,Optische Beeldstabilisatie,Nee
asu_806019,8 MP,2,Geen beeldstabilisatie,Nee
app_819946,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
sam_805205,8 MP,"1,7",Geen beeldstabilisatie,Nee
opp_827271,16 MP,2,Geen beeldstabilisatie,Nee
nok_807348,8 MP,2,Geen beeldstabilisatie,Nee
son_827301,8 MP,2,Geen beeldstabilisatie,Nee
son_827302,8 MP,2,Geen beeldstabilisatie,Nee
app_819349,7 MP,"2,2",Elektronische Beeldstabilisatie,Nee
hon_824865,24 MP,2,Geen beeldstabilisatie,Nee
opp_825292,25 MP,2,Optische Beeldstabilisatie,Nee
opp_825289,25 MP,2,Optische Beeldstabilisatie,Nee
nok_817749,8 MP,2,Geen beeldstabilisatie,Nee
hua_821694,24 MP,2,Geen beeldstabilisatie,Ja
hua_821692,24 MP,2,Geen beeldstabilisatie,Ja
son_827303,8 MP,2,Geen beeldstabilisatie,Nee
rug_828703,8 MP,2,Geen beeldstabilisatie,Nee
hua_828487,16 MP,2,Geen beeldstabilisatie,Nee
cro_813907,5 MP,"2,4",Geen beeldstabilisatie,Nee
sam_829414,25 MP,2,Geen beeldstabilisatie,Nee
sam_829418,25 MP,2,Geen beeldstabilisatie,Nee
son_819004,13 MP,2,Geen beeldstabilisatie,Ja
son_827300,8 MP,2,Geen beeldstabilisatie,Nee
son_827297,8 MP,2,Geen beeldstabilisatie,Nee
son_819000,13 MP,2,Geen beeldstabilisatie,Ja
son_802498,8 MP,"2,4",Geen beeldstabilisatie,Nee
dor_793491,2 MP,"2,6",Geen beeldstabilisatie,Ja
sam_826912,8 MP,"1,7",Elektronische Beeldstabilisatie,Ja
xia_828046,20 MP,2,Geen beeldstabilisatie,Nee
hon_824864,24 MP,2,Geen beeldstabilisatie,Nee
lg_778531,5 MP,"2,2",Geen beeldstabilisatie,Nee
xia_823727,20 MP,2,Elektronische Beeldstabilisatie,Ja
sam_812167,24 MP,"1,9",Geen beeldstabilisatie,Ja
sam_812164,24 MP,"1,9",Geen beeldstabilisatie,Ja
hon_824522,24 MP,2,Geen beeldstabilisatie,Nee
